epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.9868,3.50221,5.16081,4.50616,0,0,0,0,3.38035,4.95651,4.15896,5.26e-06,5.26e-06,5.26e-06
2,49.6812,3.7573,5.12952,4.42127,0,0,0,0,3.38031,4.95634,4.15903,1.42178e-05,1.42178e-05,1.42178e-05
3,53.1014,3.57919,5.15872,4.38834,0,0,0,0,3.38026,4.9562,4.1591,2.10926e-05,2.10926e-05,2.10926e-05
4,56.1884,3.54793,5.10826,4.48843,0,0,0,0,3.38022,4.95592,4.15916,2.58845e-05,2.58845e-05,2.58845e-05
5,59.1211,3.59083,5.14831,4.35218,0,0,0,0,3.38017,4.95589,4.15924,2.85934e-05,2.85934e-05,2.85934e-05
6,62.0622,3.57187,5.03719,4.4143,0,0,0,0,3.38012,4.95588,4.15933,2.92193e-05,2.92193e-05,2.92193e-05
7,64.9493,3.54628,5.1187,4.38998,0,0,0,0,3.38006,4.95591,4.15943,2.77623e-05,2.77623e-05,2.77623e-05
8,71.6357,3.45235,4.9657,4.40213,0,0,0,0,3.38,4.956,4.15954,2.42223e-05,2.42223e-05,2.42223e-05
9,74.6359,3.63553,5.03097,4.37612,0,0,0,0,3.37998,4.95604,4.15961,1.85994e-05,1.85994e-05,1.85994e-05
10,77.9151,3.48353,5.0013,4.40248,0,0,0,0,3.37992,4.95624,4.15979,1.08935e-05,1.08935e-05,1.08935e-05
